Nr.,A,B,C,D,E,F,G,H,I,1.,1.-2.,1.-3.,1.-4.,1.-5.,1.-6.,Platz,Summe,Dance
6,5,3,4,6,3,6,6,5,2,0,1,3,4,6,-,50,50,LW
13,1,1,1,1,1,1,1,1,1,9,-,-,-,-,-,10,10,LW
24,3,4,3,2,2,4,5,2,3,0,3,6,-,-,-,30,30,LW
30,6,6,6,5,5,5,3,6,5,0,0,1,1,5,-,60,60,LW
43,2,2,2,3,4,2,2,3,4,0,5,-,-,-,-,20,20,LW
45,4,5,5,4,6,3,4,4,6,0,0,1,5,-,-,40,40,LW
6,2,3,2,6,3,2,5,2,2,0,5,-,-,-,-,20,70,TG
13,1,1,1,1,1,1,1,1,1,9,-,-,-,-,-,10,20,TG
24,4,4,3,2,2,5,4,3,3,0,2,5,-,-,-,30,60,TG
30,6,6,6,5,5,6,3,6,5,0,0,1,1,4,9,60,120,TG
43,3,2,4,3,4,4,2,4,4,0,2,4,9,-,-,40,60,TG
45,5,5,5,4,6,3,6,5,6,0,0,1,2,6,-,50,90,TG
6,4,3,4,6,3,6,4,4,2,0,1,3,7,-,-,40,110,WW
13,1,1,1,1,1,1,1,1,1,9,-,-,-,-,-,10,30,WW
24,3,2,3,2,2,2,5,2,3,0,5,-,-,-,-,20,80,WW
30,6,6,6,5,4,5,3,6,5,0,0,1,2,5,-,60,180,WW
43,2,4,2,3,5,3,2,3,4,0,3,6,-,-,-,30,90,WW
45,5,5,5,4,6,4,6,5,6,0,0,0,2,6,-,50,140,WW
6,5,4,4,6,3,5,4,5,2,0,1,2,5,-,-,40,150,SF
13,1,1,1,1,1,1,1,1,1,9,-,-,-,-,-,10,40,SF
24,3,3,3,2,2,3,5,2,3,0,3,8,-,-,-,30,110,SF
30,6,6,6,5,4,6,3,6,5,0,0,1,2,4,9,60,240,SF
43,2,2,2,3,5,2,2,3,4,0,5,-,-,-,-,20,110,SF
45,4,5,5,4,6,4,6,4,6,0,0,0,4,6,-,50,190,SF
6,3,4,2,6,3,4,6,3,2,0,2,5(13),-,-,-,40,190,QS
13,1,1,1,1,1,1,1,1,1,9,-,-,-,-,-,10,50,QS
24,4,3,4,2,2,5,4,2,3,0,3,5(12),-,-,-,30,140,QS
30,6,6,6,5,4,6,3,6,5,0,0,1,2,4,9,60,300,QS
43,2,2,3,3,5,3,2,4,4,0,3,6,-,-,-,20,130,QS
45,5,5,5,4,6,2,5,5,6,0,1,1,2,7,-,50,240,QS
