Nr.,A,B,C,D,E,F,G,Sum,Qualified
1,0,0,0,0,0,0,0,0,False
2,3,1,4,4,5,5,5,27,True
3,0,3,0,0,1,0,0,4,False
4,-,-,-,-,-,-,-,-1,False
5,0,0,2,2,0,1,3,8,False
6,5,5,5,5,5,5,5,35,True
7,5,5,5,4,5,5,5,34,True
8,-,-,-,-,-,-,-,-1,False
9,-,-,-,-,-,-,-,-1,False
10,-,-,-,-,-,-,-,-1,False
12,3,5,4,5,3,5,1,26,True
13,0,0,0,0,1,0,3,4,False
14,5,2,5,0,4,4,3,23,True
15,-,-,-,-,-,-,-,-1,False
16,5,5,5,5,3,5,5,33,True
17,4,4,0,5,2,0,0,15,False
18,-,-,-,-,-,-,-,-1,False
19,-,-,-,-,-,-,-,-1,False
20,-,-,-,-,-,-,-,-1,False
66,0,0,0,0,1,0,0,1,False
